edtriangle_1, 3.001623 0.000781 0.683856 6.856893 0.0002 0.044358 14.19457 0.00016 0.095942 19.025137 0.000168 0.012138 21.196232 0.002475 1.598364 28.309692 0.000707 0.34661 33.900616 0.000171 0.098497 63.333347 0.000078 0.030141 139.282974 0.000284 0.481651 839.855957 0.000211 0.390938 1335.228882 0.001974 0.487853 1490.911865 0.002261 3.136764 1708.565552 0.002874 0.244165 2136.942139 0.000469 0.478475 2401.217773 0.000398 0.09842 2604.909668 0.000465 0.526674 2613.32373 0.000317 0.132112 2729.19043 0.002824 0.202609 2739.267578 0.000987 0.67787 2944.639648 0.002076 0.113026 3252.410645 0.000705 0.09269 3419.793457 0.000087 0.326961 3683.539551 0.000056 0.646746 3727.442871 0.021061 0.152842 3994.14917 0.000639 0.412584 4045.709473 0.008522 0.114666 4398.486328 0.008864 0.570789 4546.494141 0.004452 0.217875 4740.825195 0.008884 0.274006 4834.799805 0.001794 0.299308 4898.911133 0.000248 0.220114 5099.832031 0.00143 0.673294 5470.522949 0.006019 0.492347 5574.485352 0.015065 0.412731 5690.36084 0.050804 0.412889 5837.975586 0.000063 1.3726 6017.04248 0.000095 0.41717 6150.559082 0.004064 0.462658 6715.92627 0.000126 3.905369 7247.087891 0.001122 0.298048 7427.126953 0.009794 1.939952 7731.761719 0.002116 0.502621 8102.912109 0.000365 0.873406 8263.722656 0.00252 1.559806 8926.265625 0.005302 0.992291 9313.289062 0.000076 3.001234 9772.365234 0.009687 0.523754 10417.199219 0.000874 4.096674 10973.042969 0.034727 1.275256 11349.298828 0.000358 14.171823 11867.040039 0.042281 1.377436 13216.217773 0.027147 2.098036 13848.869141 0.024465 17.94809 14747.592773 0.000818 2.032523 15955.839844 0.002526 1.938089 16725.416016 0.001171 1.038553 18715.884766 0.003261 2.250162;
edtriangle_2, 3.05071 0.000475 0.262839 7.84328 0.000162 0.196594 14.264394 0.000313 0.114122 19.150833 0.000739 0.044829 21.217144 0.000207 0.00668 28.437836 0.000803 0.001613 34.135506 0.000068 0.00365 63.557693 0.000096 0.206813 209.996185 0.000106 3.431659 861.19165 0.002135 6.502678 1342.429199 0.000544 0.168792 1490.97168 0.016156 2.296784 1709.81311 0.032248 0.054133 2137.040771 0.00035 0.36055 2402.506836 0.002445 0.066432 2606.123047 0.001238 0.684404 2613.625977 0.000287 0.11947 2729.276123 0.00347 0.161643 2740.83252 0.000346 0.479363 2945.692383 0.000278 0.045177 3253.273682 0.003319 0.098365 3520.782471 0.000105 0.522489 3709.87915 0.003407 0.272955 3727.864258 0.027346 21.602625 3995.045654 0.002642 0.167968 4046.201172 0.011832 2.193506 4399.670898 0.000518 0.176235 4547.523438 0.001163 0.222077 4741.941406 0.01558 0.280781 4880.425781 0.007072 0.315391 4900.606445 0.000671 0.215462 5103.298828 0.000896 0.297619 5471.576172 0.008523 0.241004 5576.907715 0.003779 0.797476 5690.775391 0.028683 9.643078 5876.855957 0.000756 0.287619 6038.173828 0.019355 1.296195 6151.846191 0.007447 0.459871 6739.736328 0.018285 8.587878 7251.665527 0.032366 0.631792 7439.467285 0.043833 5.255453 7733.14502 0.001219 0.431193 8125.540527 0.00933 0.780285 8267.943359 0.006647 0.455582 8929.492188 0.02782 0.960476 9431.120117 0.000392 2.134434 9777.356445 0.015732 1.507027 10424.178711 0.00089 9.829514 11041.389648 0.00752 3.475664 11397.810547 0.000122 6.3483 11869.382812 0.021338 1.347712 13221.90332 0.014654 1.23302 14204.955078 0.000688 10.002696 14826.068359 0.017361 8.519047 15956.706055 0.001004 2.369552 16727.34375 0.024342 1.216353 18851.375 0.001486 10.517585;
edtriangle_3, 3.095031 0.000501 0.839865 8.176682 0.000774 0.151634 14.504651 0.00081 0.402998 19.258942 0.001061 0.061428 21.228104 0.000379 0.04542 28.465099 0.000654 0.179731 35.011082 0.000179 0.032105 70.723259 0.000161 0.010618 212.267563 0.000068 0.711691 861.676392 0.002124 0.157187 1343.695557 0.005808 0.120195 1491.736572 0.000268 0.107647 1709.88501 0.027726 10.819621 2173.956299 0.00044 0.12998 2402.518311 0.002602 0.097854 2606.693604 0.000503 0.325152 2662.629883 0.000607 0.182836 2730.208496 0.012183 0.152857 2742.412598 0.000278 0.467621 2945.971191 0.001469 0.33116 3253.437012 0.002978 0.084728 3566.83374 0.00109 0.302154 3710.599854 0.01577 1.983374 3728.453369 0.006093 0.188251 3997.951416 0.001036 0.207453 4047.214844 0.000362 0.133513 4400.024902 0.00056 0.705636 4549.693848 0.007096 0.350293 4742.099121 0.020276 0.273931 4881.697266 0.013827 0.226904 4901.598633 0.000497 0.261987 5104.275879 0.00085 0.19885 5471.608887 0.004287 0.223261 5642.484863 0.015576 0.460105 5691.378418 0.00181 0.33183 5877.884766 0.002601 0.321175 6043.702148 0.009529 0.544174 6153.114746 0.002504 0.450894 6740.527344 0.011648 0.372263 7252.166504 0.02711 0.536079 7461.061523 0.00015 0.744842 7734.140625 0.001938 0.539728 8127.366211 0.000131 5.430317 8277.453125 0.008005 0.99293 8931.102539 0.019427 18.863361 9468.780273 0.101737 22.644522 9795.132812 0.000295 0.858718 10511.450195 0.000377 8.48354 11053.728516 0.002928 3.460901 11609.163086 0.033794 1.056716 11942.694336 0.001555 1.182794 13222.994141 0.038838 10.350442 14268.546875 0.01035 2.378183 14953.804688 0.000299 15.710651 15991.335938 0.007529 4.087241 16728.300781 0.042382 5.233136 19890.302734 0.006245 3.963252;
edtriangle_4, 3.188537 0.000173 0.01669 8.26675 0.000303 0.026137 14.6202 0.000241 0.009325 19.350967 0.000167 0.038141 21.300802 0.000765 0.051628 28.633812 0.000383 0.006828 35.458103 0.000143 0.054197 70.792679 0.000236 0.137944 235.646484 0.000238 0.162539 861.705933 0.002343 0.026001 1343.737549 0.005969 0.120547 1491.97937 0.001124 0.093008 1710.990479 0.002855 0.048262 2175.021973 0.002341 0.153384 2403.8396 0.000485 0.119853 2607.35791 0.000278 0.107696 2663.958008 0.007278 0.262428 2730.278076 0.006414 0.0766 2836.505127 0.000682 6.161085 2947.862549 0.000876 0.77972 3254.459229 0.000749 0.092525 3568.184814 0.005977 0.200465 3710.978516 0.009856 0.153543 3729.81665 0.001612 0.259613 4017.32959 0.000473 0.578325 4047.242188 0.00074 0.200285 4400.828613 0.000252 0.179597 4549.742676 0.002869 0.235828 4743.307617 0.008321 0.274371 4881.89502 0.012946 0.17373 4915.518555 0.002534 0.364902 5105.306641 0.022609 4.434696 5471.862793 0.029149 2.492459 5642.48877 0.013457 0.43199 5691.874512 0.176902 3.090341 5877.921387 0.003981 0.820724 6046.254395 0.080195 0.466251 6194.210938 0.000097 1.658393 6746.361816 0.000392 0.489647 7253.369141 0.016253 0.634877 7523.650879 0.000595 0.639519 7735.552734 0.001348 0.450076 8130.648438 0.001974 11.271137 8325.910156 0.028568 17.443123 8931.557617 0.013983 0.897786 9528.681641 0.000723 0.580586 9852.335938 0.001084 1.384666 10558.639648 0.000136 2.352743 11054.568359 0.002155 1.33655 11609.352539 0.020466 0.791103 11944.069336 0.038917 1.394072 13224.329102 0.078033 10.970447 14340.119141 0.000245 6.092627 15120.662109 0.000272 0.942911 15992.485352 0.00072 1.366621 16729.628906 0.001204 1.359334 20453.763672 0.008268 4.172342;
edtriangle_5, 3.330885 0.000383 0.02572 8.728678 0.000252 0.059667 16.232948 0.000233 0.111482 19.599854 0.000175 0.014091 21.829929 0.000899 0.395016 29.083889 0.000265 0.018475 36.199627 0.000164 0.096964 71.694 0.000078 0.036219 392.590302 0.000378 0.034183 891.534363 0.000127 0.918855 1344.899536 0.000566 0.177788 1575.796143 0.000973 0.155242 1711.009033 0.00302 0.047748 2175.075439 0.002632 1.094901 2403.855469 0.000664 0.149383 2607.393066 0.000264 0.098621 2664.00708 0.005163 0.054243 2730.306885 0.072589 0.160272 2930.494873 0.001029 0.101046 2948.79541 0.000189 0.474264 3275.682373 0.00073 0.112655 3568.188721 0.005063 0.200187 3711.255615 0.020305 8.268732 3730.252441 0.000653 0.100188 4022.560059 0.002396 0.173887 4235.720215 0.000087 0.794278 4455.562012 0.000082 3.202102 4551.072266 0.016567 0.203323 4744.492188 0.003015 0.299189 4882.984375 0.006824 0.299238 4915.956543 0.003121 0.418817 5105.378906 0.016012 0.292295 5472.196777 0.008602 0.521951 5643.425781 0.002623 0.464455 5692.255371 0.00608 0.467186 5882.67041 0.000374 0.568516 6046.739258 0.247116 6.860432 6214.508789 0.011648 17.506472 6937.492188 0.004246 1.307089 7304.816406 0.000398 0.647663 7524.788086 0.000831 3.083758 7757.314453 0.000233 0.559823 8152.310547 0.000538 0.712908 8536.192383 0.002149 24.681072 8931.612305 0.030511 0.823804 9597.897461 0.001616 8.437278 9869.575195 0.016217 1.215141 10570.944336 0.000117 2.774834 11054.844727 0.001743 1.287405 11612.722656 0.001728 0.739536 11944.479492 0.067661 2.580801 13282.897461 0.004051 2.230872 14452.239258 0.068537 19.764368 15123.78418 0.00289 1.186053 16081.478516 0.000227 1.417118 16768.158203 0.005409 1.597295 20479.398438 0.000953 8.422816;
edtriangle_6, 3.430093 0.000502 0.007403 9.726637 0.000809 0.096735 16.247993 0.000202 0.020249 19.835642 0.000708 0.158786 22.556307 0.000175 0.089928 29.089733 0.000299 0.009518 37.4491 0.000207 0.046033 71.768227 0.000334 2.479926 392.602325 0.000261 0.091465 899.024536 0.000694 0.775226 1437.383667 0.000127 0.345221 1575.886841 0.000889 0.033732 1712.243652 0.001107 0.068951 2176.090576 0.000243 0.095466 2417.401123 0.000614 0.111062 2609.479004 0.001902 0.323809 2665.371582 0.000279 0.10303 2730.327393 0.10157 0.26596 2930.576172 0.000825 0.451596 2979.344971 0.000978 0.159548 3276.702393 0.000759 0.100442 3569.503174 0.000615 0.238335 3711.939453 0.000108 0.372177 3731.067139 0.000278 0.147392 4022.611328 0.003487 0.220621 4312.104492 0.000134 2.829339 4470.678223 0.000205 0.472844 4551.217285 0.03577 5.120647 4744.538574 0.001439 0.218833 4887.930176 0.002358 1.334426 4917.288086 0.002841 0.2617 5106.368652 0.002827 0.265814 5473.14209 0.003841 0.346077 5643.489258 0.012618 0.430522 5692.47168 0.035555 0.367322 5971.845703 0.006749 0.329807 6047.477539 0.069542 0.44944 6215.226074 0.009252 1.055969 6943.527832 0.01957 0.573291 7310.890625 0.044425 21.057405 7526.144531 0.000323 0.527218 7939.640137 0.000202 0.592467 8152.355957 0.000718 2.147202 8574.897461 0.000448 0.366259 8932.043945 0.146923 23.619406 9601.067383 0.000258 3.094587 9950.943359 0.001131 2.830045 10611.681641 0.000349 6.143159 11065.852539 0.000601 2.179156 11625.710938 0.000391 0.892737 11944.71875 0.069228 10.353575 13286.242188 0.002902 15.652518 14460.754883 0.005133 3.451529 15127.509766 0.004101 0.965884 16171.479492 0.000875 2.566438 16774.429688 0.002162 1.259186 20925.925781 0.007009 2.029104;
edtriangle_7, 3.564349 0.000286 0.119844 9.949823 0.000296 0.017835 16.972628 0.000475 0.065718 19.872715 0.000346 0.063211 23.051996 0.000215 0.116689 29.47312 0.000279 0.095019 37.829773 0.000368 0.188859 72.974274 0.000084 0.030783 485.075836 0.000275 0.173656 904.370789 0.00134 0.280196 1437.828247 0.000129 0.694656 1582.486816 0.001077 2.415854 1712.272217 0.000939 0.050384 2221.017822 0.000345 0.178975 2417.411621 0.000891 0.143154 2609.496826 0.000971 0.060262 2665.390869 0.001096 0.269392 2731.399658 0.00323 0.140904 2933.961182 0.000333 0.560151 2980.461426 0.00384 0.068993 3277.726074 0.000607 0.108961 3570.18335 0.002159 0.794645 3712.211914 0.003078 0.274401 3741.233398 0.000336 0.677094 4023.782471 0.018308 0.202724 4336.322266 0.001437 0.149493 4471.11377 0.00043 1.420247 4552.385742 0.008603 0.326502 4745.764648 0.002363 0.30885 4891.535156 0.000641 0.268429 4917.362305 0.000548 0.260564 5107.369629 0.002538 0.377027 5498.139648 0.000176 3.192282 5643.567871 0.001478 0.402817 5692.868164 0.007972 0.496559 5971.915527 0.017859 8.098516 6048.731445 0.083167 0.444454 6215.609863 0.005818 0.477283 6943.588379 0.008998 0.423399 7311.001953 0.028071 0.895181 7544.674316 0.000094 1.684667 7940.381836 0.00025 6.130305 8157.244629 0.000727 0.678287 8576.646484 0.000391 2.126578 8933.680664 0.018718 0.846597 9607.521484 0.000236 2.888323 9952.491211 0.035287 9.459818 10615.261719 0.000086 1.909049 11080.679688 0.000506 2.296757 11638.280273 0.007853 1.51019 11948.686523 0.02275 4.20978 13350.163086 0.020264 1.317061 14520.254883 0.005079 1.420168 15129.802734 0.01352 4.475451 16211.966797 0.002342 1.656357 16774.662109 0.0029 1.785628 20927.949219 0.001253 1.901299;
edtriangle_8, 3.66791 0.000441 0.551313 10.412344 0.000359 0.21087 17.028776 0.000381 0.263547 20.085852 0.000243 0.00243 23.345953 0.000219 0.05886 29.777943 0.00022 0.025633 38.855659 0.000083 0.097417 74.20359 0.000094 0.076748 485.212982 0.000119 0.296574 905.577637 0.007187 0.262879 1471.436768 0.000072 0.091389 1582.491699 0.00067 0.012266 1716.095337 0.000121 0.105261 2223.010742 0.000533 0.283244 2418.432373 0.00777 3.497395 2610.501953 0.007506 0.069124 2694.772949 0.002987 11.321489 2731.4375 0.001057 0.140808 2937.349121 0.00011 0.109071 2980.629395 0.004501 0.089458 3347.789795 0.000294 0.056223 3572.240967 0.000248 8.16241 3718.843018 0.000266 0.279748 3741.925781 0.00233 2.698667 4023.832764 0.019204 0.153962 4336.467773 0.001809 0.21932 4503.10498 0.001558 0.330724 4553.829102 0.000202 0.179147 4746.938477 0.000876 0.360077 4892.618164 0.001042 0.291117 4918.484375 0.00256 0.2012 5144.542969 0.000528 5.566751 5535.353027 0.006287 0.423258 5644.689453 0.01418 0.426456 5693.559082 0.003328 0.365414 5972.330566 0.011399 0.341798 6049.929199 0.011804 0.398893 6218.796387 0.000466 0.58391 6943.96582 0.016696 4.0046 7311.431641 0.047677 10.62241 7551.006348 0.010562 0.49289 7965.14502 0.000287 0.479979 8182.234863 0.009015 0.525833 8613.966797 0.00847 27.140339 8936.097656 0.004471 0.816424 9618.584961 0.000175 0.795493 9952.520508 0.004299 0.852964 10621.870117 0.000106 2.472865 11120.077148 0.036552 9.506508 11645.667969 0.000666 1.042261 12096.860352 0.001603 1.652374 13350.174805 0.033558 1.459839 14523.896484 0.010103 1.125499 15156.639648 0.009773 2.19925 16227.342773 0.000318 11.765361 17021.875 0.00033 8.05363 20929.546875 0.010115 2.936628;
edtriangle_9, 3.82519 0.000281 0.046019 10.717545 0.000303 0.005751 17.200655 0.000163 0.033469 20.114744 0.000511 0.08454 23.959215 0.000322 0.0557 31.307657 0.000296 0.276689 40.054722 0.000119 0.053731 74.204796 0.000073 0.367297 690.360413 0.001309 2.545407 905.589417 0.011804 1.011974 1472.64502 0.000309 0.117205 1583.509277 0.000312 0.099705 1716.447266 0.00096 0.794914 2224.037354 0.001159 0.165419 2418.635498 0.003645 0.037407 2610.591064 0.012764 0.395516 2709.022949 0.000568 2.962461 2731.986328 0.000583 0.086451 2938.540039 0.000861 0.227573 2980.994873 0.005189 6.459174 3347.856689 0.000338 0.177313 3576.953857 0.001254 0.157573 3719.717773 0.000328 0.271378 3742.080566 0.002687 0.243388 4025.033936 0.002586 0.156853 4390.661133 0.004394 1.618169 4504.166016 0.002718 0.188421 4557.437988 0.001655 0.157441 4764.34375 0.001168 0.336907 4894.47998 0.001321 0.228479 4919.609375 0.02417 0.283113 5293.837891 0.000224 5.242979 5536.677246 0.02117 0.361861 5666.684082 0.000307 4.848579 5693.607422 0.023015 0.37126 5972.914062 0.013673 0.378656 6051.142578 0.007986 0.378552 6231.929199 0.000333 0.607738 6953.066895 0.000106 0.532667 7332.138184 0.00021 0.481222 7553.347168 0.013728 0.578711 8054.912109 0.016999 3.691929 8183.028809 0.001157 0.380105 8670.487305 0.007529 2.04361 8966.599609 0.013509 0.51025 9619.25 0.000165 0.518579 9954.228516 0.024023 1.146985 10634.125977 0.000103 2.37455 11139.322266 0.026413 4.308785 11647.448242 0.001058 1.393046 12138.149414 0.000323 3.781142 13352.349609 0.016717 1.246622 14531.00293 0.030773 0.99351 15248.646484 0.016099 4.209509 16297.982422 0.000379 1.125917 17164.253906 0.000842 1.319735 21291.033203 0.000318 1.941181;
edtriangle_10, 3.906009 0.000355 0.039803 10.944234 0.000698 0.022296 17.405556 0.000343 0.05083 20.333031 0.0002 0.023714 24.521767 0.000163 0.042494 31.497234 0.000321 0.071383 42.014694 0.000155 0.011573 74.90284 0.000107 0.153855 690.378845 0.001169 0.016299 906.85022 0.001035 0.265981 1472.665894 0.000178 0.021058 1649.257935 0.000081 0.385942 1716.637939 0.000418 0.237596 2225.047363 0.003887 3.496179 2418.815674 0.009791 0.599523 2610.610596 0.006183 0.411834 2721.32373 0.000217 0.352922 2732.558594 0.001596 0.188939 2938.577393 0.000113 0.042114 2981.914307 0.000679 0.123289 3348.395996 0.000294 2.651337 3576.983887 0.002197 0.332669 3721.541504 0.000468 0.100114 3989.89917 0.000846 0.205341 4025.112793 0.000993 0.152722 4391.130371 0.001505 0.792483 4505.185059 0.007959 0.170044 4558.464355 0.000616 0.175632 4765.508301 0.001414 0.381405 4896.543945 0.023421 0.249313 4919.655762 0.01466 0.268857 5433.660645 0.000092 0.307468 5536.787109 0.022795 0.319377 5667.132812 0.000168 3.511311 5695.373047 0.009273 0.684748 5973.62793 0.004389 0.359034 6068.361328 0.00073 0.928029 6232.21875 0.000198 0.259395 7023.563477 0.011405 0.574684 7364.401855 0.012013 2.1222 7591.692383 0.003679 1.028544 8067.441406 0.001682 5.422993 8184.141602 0.005515 0.485108 8671.175781 0.008905 0.821479 8969.327148 0.013274 0.889984 9698.464844 0.003423 1.89036 9964.342773 0.000321 1.499936 10677.816406 0.004646 1.883581 11139.416992 0.025936 1.345923 11663.646484 0.015353 2.099934 12197.27832 0.00057 2.37517 13363.681641 0.000649 0.714677 14536.806641 0.005692 0.881389 15372.419922 0.000201 3.369786 16413.181641 0.000614 2.288684 17712.027344 0.00075 2.536398 21686.939453 0.004986 2.749258;
