Device	Exposed parameters	Source defaults written	Wet controls forced max	No explicit initial	Preset 1 text
Max EqParametric4	23	23	0	0	Gain[4] 0, Q[3] 1., Active[2] 1, Freq[1] 100, Freq[4] 5000, Type[3] 4., Gain[2] 0, Q[1] 1., MasterGain 0., Q[4] 1., Active[3] 1, Freq[2] 500, Type[1] 5., FilterClear 0, Type[4] 6., Gain[3] 0, Q[2] 1., Active[1] 1, Active[4] 1, Freq[3] 1000, Reset 0, Type[2] 4., Gain[1] 0
Max EqShelving	9	9	0	0	LowXFreq 1000, LowEnable 1., MasterGain 0., HighEnable 1., HighGain 0., HighXFreq 4000, MidGain 0., MidEnable 1., Lowgain 0.
Max SignalAnalyzer	2	2	0	0	Interval 10, Sense 10
Max SpectralDelay	10	7	1	2	Delays 0.464844, Dry/Wet 100., Feedbacks 0.710938, DelayRange 2000., FeedbackRandStep 10, DelayRandStep 10, FeedbackRange 50., Gain 0.
Max SpectralHarm	17	16	1	0	ModeR 0., ShiftL 0., DelayR 0., Dry/Wet 100., BeatL 0., DelayL 0., DetuneR 0, PanR 50, TranspL 0., BeatR 0., Feedback 0., DetuneL 0, PanL -50, Gain 0., TranspR 0., ModeL 0., ShiftR 0
Microtuner	18	14	1	3	AmbienceThreshold 0, SnapToGrid 1, Quality 0., Latency 1, CorrectionAmount 100, Tonic 11., CorrectionThreshold 0, Points 13., GridResol 100., Pattern 0., Gain 0., Dry/Wet 100., SibilanceThreshold 100, Scale 1200., Storage "{'pattrstorage': {'name': 'u394000814', 'slots': {}}}"
Mono Vocoder	14	12	1	1	AmbienceThreshold 0, Bus 0, Quality 0., Detune 0, Latency 1, CorrectionAmount 100, Glide 50, CorrectionThreshold 0, Pitch 60., Gain 0., Midi 0., Dry/Wet 100., SibilanceThreshold 100
MonsterCrunch	11	10	1	0	lowpass-resonance 0.66, low-freq-depth 55., "Initial Gain" 54., hi-freq-offset 0.78, wet-dry 100., filter-cutoff 2075., low-freq-offset 0.42, level 0., hi-mod-freq 1., hi-freq-depth 197., low-mod-freq 4.
Multi Harmonizer	23	21	1	1	Atten 1, VibDepth 25., VibOscAmount 50, Bus 0, Quality 0., Latency 1, PreGain -3, VibDirection 0., VibOscEnable 1., Fade 1000, Shift 0., VibEnable 0., VibRate 4., Spread 50, VibNoiseAmount 50, Pattern 0., Gain 0., Midi 0., Dry/Wet 100., Chord 57, VibNoiseEnable 0., Storage "{'pattrstorage': {'name': 'u332000353', 'slots': {}}}"
Nebula	5	5	0	0	level 0., interval 13, nebula-depth 76, clock 0, swirl-activity 61
Noyzckippr	11	9	2	0	noise_gainR 0.57, noise_gainL 0.57, noise_Q_R 12., wet_dry_left 100., link 1, noise_out_gain_L 355., noise_CF_R 31., noise_Q_L 12., noise_out_gain_R 355., noise_CF_L 31., wet_dry_right 100.
Pendulum	10	9	1	0	spacing_right 1., wet_dry 100., "delay left" 0., master_window 623., phase_spread 0., frequency 6., spacing_left 1., freq_spread 0.25, window_spread 0.12, "delay right" 317.
Phase Scope	0	0	0	0	
Phone Filter	4	3	1	0	hiss 0.01, dropout_length 21., wet/dry 100., quality 4.92
Pitch & Echo	19	18	1	0	VibDepth 25., VibOscAmount 50, EchoFeedback 50, Quality 0., Latency 1, VibDirection 0., VibOscEnable 1., EchoMode 0., EchoSync 13., Glide 50, VibEnable 0., VibRate 4., EchoTime 500, VibNoiseAmount 50, Gain 0., Transp 0., Dry/Wet 100., VibNoiseEnable 0., EchoEnable 0.
Pitch & Vibrato	14	13	1	0	VibDepth 25., VibOscAmount 50, Quality 0., Latency 1, VibDirection 0., VibOscEnable 1., Glide 50, VibEnable 0., VibRate 4., VibNoiseAmount 50, Gain 0., Transp 0., Dry/Wet 100., VibNoiseEnable 0.
Pitch Tracker	16	14	1	1	InGain 0, SynthGain 0., Bus 0, Latency 1, TimeThresh 10, 16bit 1, MinVel 10, Waveform 0., Channel 0, Smooth 10, Tracking 1, Gain 0., Midi 0., Dry/Wet 100., Synth 1.
PitchCorrect Player	21	15	0	6	Loop 1, Quality 0., Correct 1, ZoomV 0, Rev 0, Fade 5, Slur 0, Sync 0, Thru 1, Formant 1, Pitch 1, Tuning 440, Play 0, Gain 0., ZoomH 0.
PitchTime Player	25	16	0	9	Loop 1, EnableTransp 1, ZoomV 0, Rev 0, Fade 5, Stretch 1, Sync 0, Thru 1, EnableFormant 1, Formant 0., Play 0, Gain 0., Transp 0., EnableStretch 1, PitchTime 1, ZoomH 0.
PluggoFuzz	12	12	0	0	input_filter_gain 1., intensity 3., output_filter_frequency[1] 652., input_filter_mode 0., output_filter_Q 0.5, clip_mode 0., output_filter_mode 6., level -2., output_filter_gain 0.5, input_filter_Q 0.5, input_filter_frequency 5824.5, input_gain 0.
Poly Vocoder	20	17	1	2	Atten 1, AmbienceThreshold 0, Bus 0, Quality 0., Latency 1, PreGain 0., CorrectionAmount 100, Fade 1000, Shift 0., CorrectionThreshold 0, Spread 50, Pattern 0., Gain 0., Midi 0., Dry/Wet 100., Chord 57, SibilanceThreshold 100, Storage "{'pattrstorage': {'name': 'u953001153', 'slots': {'2': {'id': 2, 'data': {'Chord': [57, 18, 60, 18, 64, 18, 67, 22]}}}}}"
Raindrops	8	7	1	0	max_freq 5312., wet/dry 100., min_freq 625., resonance 137., density 500., attack 1., gain_overdrive 0.42, decay 10.
